FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-24_GCR7675_ZSGZ_ZGSD,20250824091631,GCR7675,B3243,ZSGZ,ZGSD,202508241210,E190
2025-08-24_GCR7675_ZLXY_ZSGZ,20250824091620,GCR7675,B3243,ZLXY,ZSGZ,202508240855,E190
2025-08-24_GCR7675_ZLXY_ZSGZ,20250824085742,GCR7675,B3243,ZLXY,ZSGZ,202508240855,E190
2025-08-24_GCR7675_ZLXY_ZSGZ,20250824055301,GCR7675,B3243,ZLXY,ZSGZ,202508240855,E190
2025-08-24_GCR7675_ZSGZ_ZGSD,20250824003353,GCR7675,,ZSGZ,ZGSD,202508241210,
2025-08-24_GCR7675_ZLXY_ZSGZ,20250824003254,GCR7675,,ZLXY,ZSGZ,202508240855,
2025-08-24_GCR7675_ZLXY_ZSGZ,20250823183553,GCR7675,,ZLXY,ZSGZ,202508240855,
2025-08-24_GCR7675_ZSGZ_ZGSD,20250823183540,GCR7675,,ZSGZ,ZGSD,202508241210,
2025-08-24_GCR7675_ZSGZ_ZGSD,20250823001621,GCR7675,,ZSGZ,ZGSD,202508241210,
2025-08-24_GCR7675_ZLXY_ZSGZ,20250823001535,GCR7675,,ZLXY,ZSGZ,202508240855,
2025-08-24_GCR7676_ZSGZ_ZLXY,20250824195020,GCR7676,B3243,ZSGZ,ZLXY,202508241725,E190
2025-08-24_GCR7676_ZSGZ_ZLXY,20250824194428,GCR7676,B3243,ZSGZ,ZLXY,202508241725,E190
2025-08-24_GCR7676_ZSGZ_ZLXY,20250824173941,GCR7676,B3243,ZSGZ,ZLXY,202508241725,E190
2025-08-24_GCR7676_ZSGZ_ZLXY,20250824173203,GCR7676,B3243,ZSGZ,ZLXY,202508241725,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824154908,GCR7676,B3243,ZGSD,ZSGZ,202508241425,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824153534,GCR7676,B3243,ZGSD,ZSGZ,202508241425,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824143933,GCR7676,B3243,ZGSD,ZSGZ,202508241425,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824143358,GCR7676,B3243,ZGSD,ZSGZ,202508241425,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824142827,GCR7676,B3243,ZGSD,ZSGZ,202508241425,E190
2025-08-24_GCR7676_ZSGZ_ZLXY,20250824130708,GCR7676,B3243,ZSGZ,ZLXY,202508241725,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824112738,GCR7676,B3243,ZGSD,ZSGZ,202508241425,E190
2025-08-24_GCR7676_ZGSD_ZSGZ,20250824003726,GCR7676,,ZGSD,ZSGZ,202508241425,
2025-08-24_GCR7676_ZSGZ_ZLXY,20250824003618,GCR7676,,ZSGZ,ZLXY,202508241725,
2025-08-24_GCR7676_ZGSD_ZSGZ,20250823182623,GCR7676,,ZGSD,ZSGZ,202508241425,
2025-08-24_GCR7676_ZSGZ_ZLXY,20250823182622,GCR7676,,ZSGZ,ZLXY,202508241725,
2025-08-24_GCR7676_ZGSD_ZSGZ,20250823001948,GCR7676,,ZGSD,ZSGZ,202508241425,
2025-08-24_GCR7676_ZSGZ_ZLXY,20250823001946,GCR7676,,ZSGZ,ZLXY,202508241725,
2025-08-24_GCR7679_ZLXY_ZSJH,20250825011828,GCR7679,B3247,ZLXY,ZSJH,202508240820,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250825011113,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250824131137,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250824130714,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
2025-08-24_GCR7679_ZSJH_ZSAM,20250824121303,GCR7679,B3247,ZSJH,ZSAM,202508241115,E190
